"重命名列表","RenameList_"
"Bonera 工具包","Bonera Toolkit"
"INVOKE_DEFAULT","INVOKE_DEFAULT"
"从选择顺序生成骨骼链（试验性）","Bone Chain From Select Order (Experimental)"
"镜像骨骼形状","Mirror Bone Shape"
"骨骼工具","Bone Tools"
"生成器","Generator"
"实用工具","Utility"
"驱动程序工具","Drivers Tool"
"清理","Clean Up"
"平滑所有重量","Smooth All Weights"
"添加","Bonadd"
"为电枢选择约束","Constraint Selected to Armature"
"生成液压","Generate Hydraulic"
"生成驱动骨","Generate Driver Bone"
"Bonera 创建骨骼菜单","Bonera Create Bone Menu"
"从对象层次结构创建骨骼链","Bone Chain From Object Hierarchy"
"从曲线创建骨骼链","Bone Chain From Curve"
"从顶点组创建骨骼","Bone From Vertex Group"
"Bonera 生成器菜单","Bonera Generator Menu"
"生成拉伸链","Generate Stretch Chain"
"生成眼睑","Generate Eyelid"
"生成扭曲骨骼","Generate Twist Bone"
"生成基本机械关节","Generate Basic Mechanical Joint"
"Bonera 工具菜单","Bonera Utility Menu"
"启用约束","Mute Constraints"
"解除约束","Unmute Constraints"
"仅选择启用/解除启用","Mute / Unmute Selected Only"
"父节点与子节点对齐","Align Parent To Child"
"孤立父对象","Orphan Parent"
"按名称将对象父对象转换为骨骼","Parent Object to Bone by Name"
"将对象骨骼父对象转换为权重对象","Convert Object Bone Parent to Weight"
"权重对象","Weight Object"
"从对象创建顶点组","Create Vertex Group from Object"
"从选定的骨骼创建空值并遵循路径（试验性）","Create Empties From Selected Bones and Follow Path (Experimental)"
"将曲线转换为骨骼（试验性）","Convert Curve To Bone (Experimental)"
"从曲线创建样条骨（试验性）","Create Spline Bone From Curve (Experimental)"
"将弯曲骨骼转换为骨骼（试验性）","Convert Bendy Bones to Bones (Experimental)"
"按名称将骨骼约束到对象","Constraint Bones To Object By Name"
"固定 IK 角度","Fix IK Angle"
"创建空骨骼并复制变形骨骼","Create Empty and Copy Transform Bone"
"复制和约束","Duplicate And Constraint"
"将所选骨骼约束至躯干","Constraint Selected Bone to Armature"
