"渲染网格所需的最小表示","Minimal representation needed to render a mesh"
"将已评估的网格数据复制到缓冲区，以便在渲染线程上更新 VBO","Copy evaluated mesh data into buffers for updating the VBOs on the render thread"
"更新此网格的变换信息","Update transformation info for this mesh"
"强制重新加载着色器源文件的操作符","Operator to force reload of shader source files"
"重新加载着色器源文件","Reload Shader Sources"
"渲染","render"
"渲染器设置的父面板","Parent panel for renderer settings"
"常规","General"
"全局视口配置","Global viewport configurations"
"视口","Viewport"
"质量设置","Quality settings"
"着色器源文件引用和重新加载设置","Shader source file references and reload settings"
"着色器编译器","Shader Compiler"
"实时重载","Live Reload"
"重载","Reload"
"编译错误：","Compilation error(s):"
"该渲染引擎的自定义每个灯光设置编辑器","Custom per-light settings editor for this render engine"
"CSDF 灯光设置","CSDF Light Settings"
"数据","data"
"CSDF 仅支持太阳光","Only Sun lights are supported by CSDF"
"Conjure Vision","Conjure Vision"
"清理渲染引擎数据，例如停止正在运行的渲染线程","Clean up render engine data, e.g. stopping running render threads"
"处理最终渲染（F12）和材质预览窗口渲染","Handle final render (F12) and material preview window renders"
"当场景或 3D 视口发生变化时调用","Called when a scene or 3D viewport changes"
"为下一次渲染更新网格数据","Update mesh data for next render"
"为下一次渲染更新主（太阳）光数据","Update main (sun) light data for the next render"
"检查是否应重新加载着色器源","Check if we should reload the shader sources"
"用户可配置的渲染器设置集合","Collection of user configurable settings for the renderer"
"顶点着色器","Vertex Shader"
"源文件路径","Source file path"
"片段着色器","Fragment Shader"
"苔丝控制着色器","Tess Control Shader"
"苔丝评估着色器","Tess Evaluation Shader"
"几何着色器","Geometry Shader"
"更改时重新加载源文件","Reload source files on change"
"背景颜色","Background Color"
"场景背景颜色","Background color of the scene"
"Matcap 颜色","Matcap Color"
"场景的 Matcap 颜色","Matcap color of the scene"
"最大距离","Max distance"
"最大视距","Maximum view distance"
"最大步长","Maximum steps"
"射线扫描的最大步长。提高轮廓清晰度","Maximum raymarching steps. Improves silhouette definition"
"最小尺寸","Minimum size"
"可呈现的最小细节","Smallest renderable detail"
"光线缩放","Ray scale"
"通过在光线行进时缩放距离估计值，减少某些与视图相关的伪影","Reduces certain view dependent artifacts, by scaling distance estimate while raymarching"
"区块输出回调","Block Outliner callback"
"停止循环函数调用","stops cyclical function calls"
"区块选择处理程序","Block selection handler"
"强制重载","Force Reload"
"上次着色器错误","Last Shader Error"
"以线框方式显示差异/嵌套","Display Diff/Inset as wire"
"启用后，将场景中所有差异/嵌套基元的绘制类型更改为线框","Changes the drawing type of all difference/inset primitives in the scene to wireframe when enabled"
"CSDF 渲染设置","CSDF Render Settings"
"颜色","Color"
"颜色选择器","color picker"
"强度","Intensity"
"灯光亮度","Brightness of the light"
"注册面板、操作符和渲染引擎本身","Register panels, operators, and the render engine itself"
"卸载之前注册的所有内容","Unload everything previously registered"
"用于渲染普通 Blender 网格的着色器","Shader for rendering regular blender meshes"
"result=999999；","result=999999;"
"还不确定在这里做什么","Not sure yet what to do here"
"根据用户的 GLSL 源文件编译着色器","Shader compiled from the user's GLSL source files"
"将源文件读入各自的阶段缓冲区，以便重新编译","Read source files into their respective stage buffers for recompilation"
