"startup.blend","startup.blend"
"显示焦点偏好","Show Focus Preferences"
"视口补间","Viewport Tweening"
"忽略灯光（始终保持可见）","Ignore Lights (keep them always visible)"
"显示组偏好","Show Group Preferences"
"自动命名组","Auto Name Groups"
"自动为任何用户设置的组名称添加前缀和/或后缀","Automatically add a Prefix and/or Suffix to any user-set Group Name"
"组基名称","Group Basename"
"添加到组名称的前缀","Prefix to add to Group Names"
"添加到组名称的后缀","Suffix to add to Group Names"
"组空对象绘制大小","Group Empty Draw Size"
"默认组大小","Default Group Size"
"淡化组空对象大小","Fade Group Empty Sizes"
"创建子组","Make Sub Group"
"淡化组大小因子","Fade Group Size Factor"
"减少每个组空对象的因子","Factor by which to decrease each Group Empty"
"移除空组","Remove Empty Groups"
"在每次清理通过时自动移除空组","Automatically remove Empty Groups in each Cleanup Pass"
"显示资产浏览器工具偏好","Show Assetbrowser Tools Preferences"
"首选默认目录","Preferred Default Catalog"
"装配资产创建的首选工作区","Preferred Workspace for Assembly Asset Creation"
"在保存饼图中显示装配资产创建","Show Assembly Asset Creation in Save Pie"
"在模式饼图中显示集合实例装配","Show Collection Instance Assembly in Modes Pie"
"在创建装配资产时隐藏线框对象","Hide Wire Objects when creating Assembly Asset"
"在装配集合实例时隐藏线框对象","Hide Wire Objects when assembling Collection Instance"
"显示渲染偏好","Show Render Preferences"
"渲染文件夹名称","Render Folder Name"
"相对于.blend文件位置存储渲染图像的文件夹","Folder used to stored rended images relative to the Location of the .blend file"
"种子渲染计数","Seed Render Count"
"设置用于去除萤火虫的种子渲染数量","Set the Amount of Seed Renderings used to remove Fireflies"
"保留单个渲染","Keep Individual Renderings"
"保留单个种子渲染，之后","Keep the individual Seed Renderings, after they"
"使用小丑蒙版名称","Use Clownmatte Name"
"在灯光属性面板中显示渲染按钮","Show Render Buttons in Light Properties Panel"
"同步灯光可见性/可渲染性","Sync Light visibility/renderability"
"根据视口隐藏属性同步隐藏渲染属性","Sync Light hide_render props based on hide_viewport props"
"在Cycles渲染中调整区域灯光","Ajust Area Lights when Rendering in Cycles"
"在渲染时调整区域灯光，以更好地匹配Eevee和Cycles","Adjust Area Lights when Rendering, to better match Eevee and Cycles"
"在视口渲染时强制隐藏渲染设置","Enforce hide_render setting when Viewport Rendering"
"在使用Cyclces视口渲染时根据隐藏渲染属性隐藏对象","Hide Objects based on their hide_render props, when Viewport Rendering with Cyclces"
"在Cycles渲染时自动设置斜角着色器","Automatically set up Bevel Shader when Cycles Rendering"
"在Cycles渲染时为所有可见材质设置斜角着色器","Set up Bevel Shader on all visible Materials when Cycles Renderings"
"显示材质选择器偏好","Show Material Picker Preferences"
"材质选择器应出现的 workspaces","Workspaces the Material Picker should appear on"
"在所有材质着色视口中显示材质选择器","Show Material Picker in all Material Shading Viewports"
"在所有渲染着色视口中显示材质选择器","Show Material Picker in all Render Shading Viewports"
"对象模式间距","Object Mode Spacing"
"编辑模式间距","Edit Mode Spacing"
"显示自定义偏好","Show Cuatomize Preferences"
"启动场景","Startup Scene"
"主题","Theme"
"材质捕捉","Matcaps"
"着色","Shading"
"覆盖层","Overlays"
"大纲","Outliner"
"偏好：界面","Preferences: Interface"
"偏好：视口","Preferences: Viewport"
"偏好：导航","Preferences: Navigation"
"偏好：键映射","Preferences: Keymap"
"偏好：系统","Preferences: System"
"偏好：保存与加载","Preferences: Save & Load"
"显示模式饼图偏好","Show Modes Pie Preferences"
"在编辑模式下关闭腔体/曲率，在对象模式下打开","Toggle Cavity/Curvature OFF in Edit Mode, ON in Object Mode"
"在编辑模式下打开X射线，在对象模式下关闭，如果编辑模式下启用了穿透或线框","Toggle X-Ray ON in Edit Mode, OFF in Object Mode, if Pass Through or Wireframe was enabled in Edit Mode"
"在切换模式时尽可能同步工具","Sync Tool if possible, when switching Modes"
"显示保存饼图：版本化启动文件偏好","Show Save Pie: Versioned Startup File Preferences"
"显示保存饼图：撤销保存偏好","Show Save Pie: Undo Save Preferences"
"显示保存饼图：导入/导出偏好","Show Save Pie: Import/Export Preferences"
"显示保存饼图：屏幕录制偏好","Show Save Pie: ScreenCast Preferences"
"在饼图中提供预撤销保存","Make Pre-Undo Saving available in the Pie"
"显示.obj导出","Show .obj Export"
"显示塑料性导出","Show Plasticity Export"
"显示.fbx导出","Show .fbx Export"
"显示.usd导出","Show .usd Export"
"使用","Use "
"这对Unity有用，但对Unreal Engine不利","This is useful for Unity, but bad for Unreal Engine"
"在保存饼图中显示屏幕录制","Show Screencast in Save Pie"
"操作符计数","Operator Count"
"屏幕录制时显示的最大操作符数量","Maximum number of Operators displayed when Screen Casting"
"字体大小","Font Size"
"突出显示MACHIN3操作符","Highlight MACHIN3 operators"
"突出显示来自MACHIN3插件的操作符","Highlight Operators from MACHIN3 addons"
"显示操作符","Display Operator"
"使用SKRIBE（专用，首选）","Use SKRIBE (dedicated, preferred)"
