"将变形从tri_old转移到tri_new，针对给定的顶点v_old考虑到平面偏移。","Перенести деформацию с tri_old на tri_new для заданной вершины v_old с учетом смещения от плоскости."
"更新DNA","Update DNA"
"网格","Mesh"
"基础","Basis"
"漫射UV","DiffuseUV"
"适配骨骼","Fit Bones"
"自动适配骨骼","Automatically fits bones"
"骨骼配置","Bones Config"
"强制重新绑定","Force Rebind"
"变量","var"
"MRF_CTRL_RIG","MRF_CTRL_RIG"
"MetahumanFaceControls","MetahumanFaceControls"
"MRF_BONE_MESH","MRF_BONE_MESH"
"初始化控制逻辑","Init Rig Logic"
"切换控制逻辑","Switch Rig Logic"
"重置编辑对象","Reset Edit Objects"
"切换控制逻辑姿势","Toggle Rig Logic Pose"
"控制装置","Control Rig"
"编写控制逻辑配置","Write Rig Logic Congig"
"用加权随机三角形适配骨骼","Fit Bones with Weighted Random Triangles"
"使用加权（骨骼权重）随机三角形的自定义算法适配骨骼","Fit bones with custom algorythom that utilizes weighted (bone weight) random triangles"
"初始化表面变形代理","Init Surface Deform Proxy"
"初始化表面变形代理","Initialize surface deformation proxy"
"衰减","Falloff"
"表面变形衰减","Surface Deform Fallof"
"初始化网格变形代理","Init Mesh Deform Proxy"
"初始化网格变形代理","Initialize Mesh Deformation proxy"
"精度","Precision"
"绑定的网格大小","The grid size for binding"
"最终形状","FINAL_SHAPE"
"用表面或网格变形修改器适配骨骼","Fit Bones with Surface or Mesh Deform modifier"
"代理对象名称","Proxy Object Name"
"目标网格名称","Target Mesh Name"
"最终目标网格名称","Final Target Mesh Name"
"基础骨架名称","Basis Armature Name"
"锁定旋转","Lock Rotation"
"转移形状","Transfer Shape"
"添加噪声","Add Noise"
"最小","Min"
"最大","Max"
"目标对象基础名称","Target Object Basis Name"
"目标对象名称","Target Object Name"
"源基础对象名称","Source Basis Object Name"
"源最终对象名称","Source Final Object Name"
"拉普拉斯变形迭代次数","Laplacian Deform Iterations"
"拉普拉斯锚定阈值","Laplacian Anchor Threshold"
"DELTA_NOISE","DELTA_NOISE"
"适配几何中心","Fit Geometry Center"
"适配指定材料的几何中心","Fit bones to the center of the geometry associated with specified material"
"对象名称","Object Name"
"初始化对象","Init Objects"
"合并距离","Merge Distance"
"保持形状键","Keep ShapeKeys"
"三角转换为四边形","Tris To Quads"
"最终骨架","FINAL_ARMATURE"
"访问官方Epic Games存储库","Visit official Epic Games repository"
"构建dnacalib","Build dnacalib "
"构建DNA-校准","Build DNA-Calibration"
"DNA-校准目录","DNA-Calibration Directory"
"Swig目录","Swig Directory"
"CMake目录","CMake Directory"
"Python版本","Python Version"
"工具集规范","Toolset Specification"
"复制dnacalib二进制文件","Copy dnacalib Binaries"
"复制插件所需文件","Copy necessary files for the addon"
"获取DNA校准库","Get DNA Calibration Library"
"从官方Github存储库获取DNA校准库","Get DNA Calibration Library from the official Github repository"
"路径","Path"
"获取Swig","Get Swig"
"从官方网站获取Swig","Get Swig from the official website"
"插值骨骼","Interpolate Bones"
"从参考骨架到目标骨架插值骨骼比例","Interpolate bones proportions from the reference armature to the target armature"
"参考骨架对象名称","Reference Armature Object Name"
"起始骨骼","Origin Bone"
"结束骨骼","End Bone"
"列出动作","List Action"
"根","root"
"导出FBX","Export FBX"
"导入","Import"
"导入metahuman头部和身体。建议同时导入","Import metahuman head and body. It is recommended to import both"
"导入衣物","Import Cloth"
"打开目录","Open Directory"
"目录路径","Directory Path"
"查看选择器","View Picker"
"LOD/编辑对象选择器","LOD/Edit Object Picker"
"显示骨架","Show Armature"
"数据传输","Data Transfer"
"MetaReforge.SeamVertices","MetaReforge.SeamVertices"
"重新计算分裂法线","Re-Compute Split Normals"
"对齐顶点","Align Vertices"
"焊接距离","Weld Distance"
"选择对象","Select Object"
"设置场景","Setup Scene"
"同步网格","Sync Meshes"
"同步头部","Sync Head"
"同步身体","Sync Body"
"同步衣物","Sync Clothes"
"更新形状键","Update Shape Keys"
"默认值","Default Value"
"重置","Reset"
"扫描指定对象中非零形状键的操作","Operator to scan for nonzero shape keys in specified objects"
"扫描非零形状键","Scan Nonzero Shape Keys"
"编辑形状键","Edit Shape Key"
"检查边缘","Check Edges"
"检查凹面","Check Concave"
"控制名称","Control Name"
"控制索引","Control Index"
"控制值","Control Value"
"形状键名称","Shape Key Name"
"对象","Object"
"文本","Text"
"同步","Sync"
"启用形状键同步","Enable the shape key synchronization"
"LOD限制","LOD limit"
"最终对象","Final Object"
"基础对象","Basis Object"
"编辑ID","Edit ID"
"网格项目","Mesh Items"
"活动索引","Active Index"
"项目名称","Item Name"
"骨架","Armature"
"最终骨架对象","Final Armature Object"
"基础骨架对象","Basis Armature Object"
"显示或隐藏metahuman骨架","Show or hide the metahuman armature"
"DNA路径","DNA Path"
"导入头部","Import Head"
"导入身体","Import Body"
"FBX头部路径","FBX Head Path"
"FBX身体路径","FBX Body Path"
"仅LOD0","LOD0 Only"
"删除除最低之外的所有LOD","Removes all LODs except the lowest"
"从DNA构建头部","Head from DNA"
"从DNA文件而不是FBX构建头部网格和骨架","Build head meshes and armature from DNA file instead of FBX"
"形变阈值位置","Morph Threshould Position"
"在计算形变目标差值时比较顶点位置相等的阈值","Threshold to compare vertex position equality when computing morph target deltas"
"输出路径","Output Path"
"名称","Name"
"导出头部","Export Head"
"导出身体","Export Body"
"导出衣物","Export Clothes"
"导出DNA","Export DNA"
"头部骨架","Head Armature"
"设置骨骼长度","Set Bone Length"
"骨骼长度","Bone Length"
"骨架对象","Armature Object"
"衣物导入路径","Cloth Import Path"
"衣物导出路径","Cloth Export Path"
"编辑网格","Edit Meshes"
"编辑骨架","Edit Armature"
"形状键","Shape Keys"
"使用噪声","Use Noise"
"噪声最小值","Noise Min Value"
"噪声最大值","Noise Max Value"
"编辑网格焊接距离","Edit Mesh Weld Distance"
"三角转换为四边形","Tris to Quads"
"编辑网格保持形状键","Edit Mesh Keep Shape Keys"
"对齐顶点","Allign Vertices"
"适配骨骼基础网格","Fit Bones Basis Mesh"
"适配骨骼最终网格","Fit Bones Final Mesh"
"适配骨骼基础骨架","Fit Bones Basis Armature"
"适配骨骼锁定旋转","Fit Bones Lock Rotation"
"几何目标网格","Geo Target Mesh"
"转移形状键","Transfer Shape Keys"
"要转移的形状键","Shape Keys to Transfer"
"活动形状键","Active Shape Key"
"同步头部","Synchronize Head"
"同步身体","Synchronize Body"
"同步衣物","Synchronize Clothes"
"自动适配配置","Auto-Fit Config "
"选择一个自动适配配置文件","Choose a auto-fit config file"
"显示头部对象","Show Head Objects"
"显示身体对象","Show Body Objects"
"显示衣物对象","Show Cloth Objects"
"显示FBX部分","Show FBX Section"
"显示网格选择器","Show Mesh Picker"
"显示编辑部分","Show Edit Section"
"显示更新部分","Show Update Section"
"显示导出部分","Show Export Section"
"显示高级适配骨骼部分","Show Advanced Fit Bones Section"
"显示自动适配骨骼部分","Show Auto-Fit Bones Section"
"进度","Progress"
"导出运行中","Export Running"
"MetaReForge.Test","MetaReForge.Test"
"对象模式","objectmode"
"简单分析器","Simple Profiler"
"基础中性纹理","Basis Neutral Texture"
"基础表情纹理","Basis Expression Texture"
"目标中性","Target Neutral"
"校正平滑","CORRECTIVE_SMOOTH"
"我的纹理操作","My Texture Operator"
"烘焙平面","BakePlane"
"烘焙材质","BakeMaterial"
"为SWIG包装类添加元类的类装饰器 - 减少版的six.add_metaclass","Class decorator for adding a metaclass to a SWIG wrapped class - a slimmed down version of six.add_metaclass"
"强制非动态属性（无新属性）类的元类","Meta class to enforce nondynamic attributes (no new attributes) for a class"
"MetaReForge","MetaReForge"
"骨架编辑","armature_edit"
"最终骨架应为活动状态","Final armature should be active"
"配置","Config"
"自动","Auto"
"初始手臂","Initial Arm"
"初始网格","Initial Mesh"
"最终网格","Final Mesh"
"保持原始旋转","Keep Original Rotation"
"表面变形：","Surface Deform:"
"初始化代理","Init Proxy"
"适配选定项","Fit Selected"
"网格变形：","Mesh Deform:"
"插值：","Interpolate:"
"起点","Origin"
"终点","End"
"插值选定项","Interpolate Selected"
"项目详情：","Item Details:"
"最终","Final"
"转移形状：","Transfer Shape:"
"编辑ID","edit_id"
"使用拉普拉斯变形","Use Laplacian Deform"
"拉普. 迭代","Lapl. Iterations"
"拉普. 阈值","Lapl. Thresh"
"转移","Transfer"
"无","NONE"
"MRF_UL_edit_mesh_items","MRF_UL_edit_mesh_items"
"edit_meshes","edit_meshes"
"edit_mesh_active_index","edit_mesh_active_index"
"MetaReForge.FaceControls","MetaReForge.FaceControls"
"关闭控制逻辑","Turn OFF Rig Logic"
"开启控制逻辑","Turn ON Rig Logic"
"编辑姿势","Edit Pose"
"校正形状键","Corrective Shape Keys"
"MRF_UL_shape_key_item","MRF_UL_shape_key_item"
"nonzero_shape_keys","nonzero_shape_keys"
"active_nonzero_shape_key","active_nonzero_shape_key"
"刷新非零形状键","Refresh Nonzero ShapeKeys"
"细节级别：","Levels of Detail:"
"MRF_UL_head_lod_items","MRF_UL_head_lod_items"
"fbx_head_lods","fbx_head_lods"
"fbx_head_active_lod","fbx_head_active_lod"
"对象：","Objects:"
"MRF_UL_head_mesh_items","MRF_UL_head_mesh_items"
"mesh_items","mesh_items"
"active_index","active_index"
"active_item","active_item"
"MRF_UL_body_lod_items","MRF_UL_body_lod_items"
"fbx_body_lods","fbx_body_lods"
"fbx_body_active_lod","fbx_body_active_lod"
"MRF_UL_body_mesh_items","MRF_UL_body_mesh_items"
"衣物：","Clothes:"
"MRF_UL_cloth_items","MRF_UL_cloth_items"
"cloth_items","cloth_items"
"active_cloth_item","active_cloth_item"
"LODs：","LODs:"
"MRF_UL_cloth_lod_items","MRF_UL_cloth_lod_items"
"lod_items","lod_items"
"active_lod_index","active_lod_index"
"设置场景！","Setup scene!"
"编辑形状","Edit Shape"
"头部FBX","Head FBX"
"身体FBX","Body FBX"
"DNA","DNA"
"DNACalib未链接","DNACalib is not linked"
"从DNA构建头部","Build Head from DNA"
"形变阈值","Morph Thresh."
"三角转四边形","Tris2Quads"
"初始化","Initialize"
"验证边缘","Validate Edges"
"验证面","Validate Faces"
"骨架：","Armature:"
"网格：","Meshes:"
"形状键：","Shape Keys:"
"刷新","Refresh"
"检查全部","Check All"
"取消检查全部","Uncheck All"
"头部","Head"
"身体","Body"
"衣物","Clothes"
"同步","Synchronize"
"DNA校准未链接","DNA-Calibration is not linked"
"修改DNA","Modify DNA"
"无最终骨架","No final armature"
"检查列表中的所有文件是否存在于给定目录中。","Check if all files in the list are present in the given directory."
"指定Python版本参数用于CMake","Python version to be specified for CMake as parameter "
"VSC工具集","VSC Toolset"
"指定VSC工具集参数用于CMake","VSC Toolset to be specified for CMake as parameter "
"DNA校准库不支持您的系统。","DNA Calibration library is not supported on your system."
"插件功能有限","The addon functionality is limited"
"MetaHuman-DNA-Calibration","MetaHuman-DNA-Calibration"
"依赖项检查：","Dependencies check:"
"在文件资源管理器中显示","Reveal in File Exlorer"
"缺少vtx_color.py","vtx_color.py is Missing"
"找到库文件","Library files are found"
"库文件已链接","Library files are linked"
"库文件未链接","Library files are NOT LINKED"
"缺少库文件","Library files are missing"
"可以从官方存储库文件夹的Maya插件中复制库文件","Library files can be copied from the Maya plugin in the official repository folder"
"如果要构建/重建，请清除插件/第三方/dnacalib目录","Сlear addon/third_party/dnacalib directory if you want to build/rebuild"
"安装设置：","Installation Settings:"
"DNA校准","DNA Calibration"
"从Maya插件复制二进制文件","Copy Binaries from Maya plugin"
"构建设置：","Build Settings:"
"CMake","CMake"
"Swig","Swig"
"Python版本","Python version"
"DNA校准目录无效","DNA Calibration Directory is not valid"
"CMake目录无效","CMake Directory is not valid"
"Swig目录无效","Swig Directory is not valid"
"MRF_SD","MRF_SD"
"MFR_ANCHOR","MFR_ANCHOR"
"MRF_LD","MRF_LD"
