"空的","empty"
" 返回给定名称的有效 python 表示法，以便在脚本中用作变量名 "," Returns the given name as a valid python represention to use as variable names in scripts "
" 根据给定的名称列表返回唯一名称 "," Returns a unique name based for the given list of names "
" 返回指定行开头的空格数 "," Returns the amount of spaces at the start of the given line "
" 返回给定文本行的最小缩进值 "," Returns the minimum indent of the given lines of text "
" 将给定代码归一化为最小缩进，并删除空行 "," Normalizes the given code to the minimum indent and removes empty lines "
" 按给定的缩进量缩进给定的代码。在代码中插入多行代码块时使用此功能 "," Indents the given code by the given amount of indents. Use this when inserting multiline blocks into code "
"工具提示","Tooltip"
"点击了解更多","Click to learn more"
"信息"信息"","Info"
"Serpens Properties","Serpens Properties"
"名称","Name"
"资产名称","Name of the asset"
"路径","Path"
"资产文件的路径","Path to the asset file"
"添加资产","Add Asset"
"为插件添加资产","Adds a asset to the addon"
"类型","Type"
"将此目录或此文件添加为资产","Add this directory or this file as an asset"
"移除资产","Remove Asset"
"从附加组件中删除该资产","Removes this asset from the addon"
"查找节点","Find Node"
"查找资产","Find Asset"
"在附加组件中查找该资产","Finds this asset in the addon"
"该资产未找到节点","No nodes found for this asset"
"空资产节点","Empty Asset Nodes"
"未找到空资产节点","No empty asset nodes found"
"添加资产节点","Add Asset Node"
"添加资产节点","Adds an asset node"
" 返回所有属性的命令代码 "," Returns the imperative code for all properties "
" 返回所有属性的注册码 "," Returns the register code for all properties "
" 返回所有属性的取消注册代码 "," Returns the unregister code for all properties "
"该属性可存储的数据类型","The type of data this property can store"
" 绘制一般属性设置 "," Draws the general property settings "
"动画","Animatable"
"文本编辑更新","Textedit Update"
"{self.name}","{self.name}"
"{self.description}","{self.description}"
" 注册属性并取消注册上一版本 "," Registers the property and unregisters previous version "
"附加到","Attach To"
"要附加该属性的blender数据类型","The type of blend data to attach this property to"
"隐藏","Hidden"
"跳过保存","Skip Save"
" 返回该属性所在的集合 "," Returns the collection this property lives in "
" 返回主属性集合所在的源代码 "," Returns the source where the main property collection lives "
" 返回该属性的完整数据路径 "," Returns the full data path for this property "
" 使用父类的编译函数更新属性 "," Update the property with the parent classes compile function "
"属性名称","Property Name"
"属性 (非数据)","Property (No Data)"
"属性名称","Name of this property"
"说明","Description"
"该属性的描述，显示在工具提示中","The description of this property, shown in tooltips"
"选项","Options"
"该属性的选项","Options for this property"
"类别","Category"
"该属性显示的类别","The category this property is displayed in"
"该属性类别的名称","The name of this property category"
"添加属性类别","Add Property Category"
"添加属性类别","Adds a property category"
"删除属性类别","Remove Property Category"
"删除一个属性类别","Removes a property category"
"编辑属性类别","Edit Property Categories"
"编辑附加组件属性类别","Edit the addon property categories"
"类别","Categories"
"未添加类别","No categories added"
"添加类别","Add Category"
"移动属性类别","Move Property Category"
"将所选属性移至不同类别","Move the selected property to a different category"
"添加属性","Add Property"
"为附加组件添加属性","Adds a property to the addon"
"新属性","New Property"
"删除属性","Remove Property"
"从附加组件中删除该属性","Removes this property from the addon"
"移动属性","Move Property"
"移动此属性","Moves this property"
"重复属性","Duplicate Property"
"复制所选属性","Duplicates the selected property"
"复制 Python 名称","Copy Python Name"
"复制该项的 python 名称，以便在脚本中使用","Copies the python name of this item to use in scripts"
"添加枚举项","Add Enum Item"
"为该属性添加一个枚举项","Adds an enum item to this property"
"移除枚举项","Remove Enum Item"
"从该属性中删除一个枚举项","Removes an enum item from this property"
"移动枚举项","Move Enum Item"
"移动该枚举项","Moves this enum item"
"向该组添加一个属性","Adds a property to this group"
"添加属性节点弹出窗口","Add Property Node Popup"
"弹出选择属性节点的窗口","Opens a popup to let you choose a property node"
"属性","Property"
"显示属性","Display Property"
"设置属性","Set Property"
"属性更新","On Property Update"
"添加属性节点","Add Property Node"
"将此节点添加到编辑器中","Adds this node to the editor"
"寻找属性","Find Property"
"在附加组件中查找该属性","Finds this property in the addon"
"未找到该属性的节点","No nodes found for this property"
"空属性节点","Empty Propert Nodes"
"未找到空属性节点","No empty property nodes found"
" 返回属性列表，按注册排序 "," Returns a list of the properties, sorted for registering "
" 返回给定属性组是否有指向其他属性组的指针或集合道具 "," Returns if the given property group has pointer or collection props with references to other prop groups "
"布尔属性的值可以是 True 或 False。","Boolean properties can hold a value of True or False.\n"
" 绘制该属性类型的设置 "," Draws the settings for this property type "
"默认值","Default"
"此属性的默认值（对于现有的附加项，此值可能不会自动重置）","Default value of this property (This may not reset automatically for existing attached items)"
"是矢量","Is Vector"
"如果该属性是一个向量","If this property is a vector"
"矢量大小","Vector Size"
"矢量属性的长度","Length of the vector property"
"整数属性可以保存十进制数。","Integer properties can hold decimal number.\n"
"所选属性不是组！","The selected property is not a group!"
"可以","Can"
