"注册处理","登録処理"
"注销处理","登録解除処理"
"启动时生成设置的骨骼组","設定されたボーングループを起動時に生成"
"重置初始化属性","イニシャライズドプロパティーのリセット"
"INVOKE_DEFAULT","INVOKE_DEFAULT"
"单个骨骼创建","Single Bone Create"
"IK骨骼创建","IK Bone Create"
"多个骨骼创建","Multiple Bone Create"
"骨骼变换","Bone Transform"
"骨骼固定","Bone Pinning"
"骨骼实用工具","Bone Utility"
"对象实用工具","Object Utility"
"实用工具","Utility"
"注册顶部菜单弹出","上部メニューのポップオーバー登録"
"快速装配","QuickRig"
"注册编辑姿势模式的右键点击","EDIT POSE モードの右クリック登録"
"快速装配：单个骨骼创建","QuickRig : Single Bone Create"
"快速装配：IK骨骼创建","QuickRig : IK Bone Create"
"快速装配：多个骨骼创建","QuickRig : Multiple Bone Create"
"快速装配：骨骼变换","QuickRig : Bone Transform"
"快速装配：骨骼固定","QuickRig : Bone Pinning"
"快速装配：骨骼实用工具","QuickRig : Bone Utility"
"快速装配：实用工具","QuickRig : Utility"
"注册对象模式的右键点击","OBJECT モードの右クリック登録"
"快速装配：对象实用工具","QuickRig : Object Utility"
"骨骼创建","ボーン作成"
"生成连接活动骨骼和选定骨骼的骨骼","アクティブボーンと選択ボーンを接続するボーン生成"
"生成用于偏移的骨骼并将选定骨骼设为其子","オフセット用ボーンを生成して選択ボーンをその子にする"
"将骨骼放入指定的层","指定したレイヤーにボーンを入れる"
"选择指定索引的层","指定したインデックスのレイヤーを選択"
"将选定骨骼放入指定的层","指定したレイヤーに選択ボーンを入れる"
"指定骨骼组名并将骨骼放入指定组","ボーングループ名を指定してボーンを指定したグループに入れる"
"组","Group"
"创建骨骼组的函数","ボーングループを作る関数"
"指定显示类型名并更改活动装备的显示类型","ディスプレイタイプ名を指定してアクティブなアーマチュアのディスプレイタイプを変更"
"更改骨骼的BBone大小","boneのBBoneサイズを変更"
"更改选定BBbone的大小","選択BBboneのサイズを変更"
"将指定对象分配给骨骼的自定义形状","ボーンのカスタムシェイプに指定したオブジェクトを割り当てる"
"更改骨骼自定义形状的大小，如果出现AttributeError则分支到3.0版","ボーンのカスタムシェイプのサイズ変更 AttributeErrorの場合3.0版へ分岐"
"骨骼自定义形状的位置","ボーンのカスタムシェイプの位置"
"切换骨骼形状的线框检查","ボーンのシェイプのワイヤフレームをチェックオンオフ"
"切换基于骨骼长度的骨骼形状缩放","ボーンのシェイプのボーン長で拡大縮小をチェックオンオフ"
"切换use_connect","use_connectをチェックオンオフ"
"对齐目标骨骼的头部和尾部到源骨骼","ボーンsourceのボーンにtargetsのボーンのhead tailの位置をあわせる"
"移动匹配（如果父级有不均匀缩放且继承缩放不是None，则不会正确移动）","移動のマッチ（親に不均一なスケールが入っていてinherit scaleがNone以外の場合はちゃんと動かない）"
"旋转匹配（如果父级有不均匀缩放且继承缩放不是None，则不会正确旋转）","回転のマッチ（親に不均一なスケールが入っていてinherit scaleがNone以外の場合はちゃんと動かない）"
"缩放匹配（如果父级有不均匀缩放且继承缩放不是None，则不会正确缩放）","スケールのマッチ（親に不均一なスケールが入っていてinherit scaleがNone以外の場合はちゃんと動かない）"
"使姿势骨骼和编辑骨骼一致","ポーズボーンとエディットボーンを一致させる"
"返回靠近目标编辑骨骼头部和尾部的源编辑骨骼的尾部或头部","tagetEditBoneのheadとtailに近傍なsourceEditBones内のtailかheadを返す"
"在附近直线化","近傍に直線化"
"函数以在附近的头部或尾部捕捉","近傍のheadかtailにスナップする関数"
"Xmirror模式更改控制类","Xmirrorモード変更制御用クラス"
"临时保存当前模式","現在のモードを一時保存"
"设置保存的模式","保存してるモードに設定"
"获取装备","アーマチュア取得"
"获取装备对象","アーマチュアオブジェクト取得"
"获取骨骼","ボーン取得"
"获取编辑骨骼","Editボーン取得"
"获取姿势骨骼","poseボーン取得"
"根据名称获取姿势骨骼","名前からポーズボーン取得"
"根据名称获取编辑骨骼","名前からエディットボーン取得"
"根据名称获取骨骼","名前からボーン取得"
"返回所有骨骼的父级","ボーンの親をすべて返す"
"取消选择所有骨骼","全ボーン選択解除"
"吸收编辑和姿势模式中选择对象获取的描述差异的函数","EDIT, POSEの選択オブジェクト取得の記述違いを吸収する関数"
"选择骨骼","ボーンの選択"
"根据名称选择骨骼","名前からボーンの選択"
"获取活动骨骼","アクティブボーン取得"
"骨骼的活动状态","ボーンのアクティブ"
"根据名称设置活动骨骼","名前でアクティブボーンに設定"
"获取左右反转的骨骼","LR反転したボーン取得"
"返回选定骨骼的最前端和末端的向量","選択ボーンで一番先端と末端のベクトルを返す"
"返回按从前端开始的顺序排列的选定骨骼列表","選択ボーンを先端からの順番に並び替えたリストを返す"
"应用限制旋转约束到骨骼","ボーンにリミットローテーションコンストレイン適応"
"拉伸到约束","strech to コンストレイン"
"跟踪到约束","Track to コンストレイン"
"IK约束","IK コンストレイン"
"复制变换约束","Copy Transform コンストレイン"
"一半的位置约束","半分の位置コンストレイン"
"一半的旋转约束","半分の回転コンストレイン"
"一半的缩放约束","半分のスケールコンストレイン"
"子约束","チャイルドコンストレイン"
"获取姿势骨骼作为子目标的约束","ポーズボーンがSubTragetになっているコンストレインを取得"
"获取等间隔分割曲线的分割点坐标","カーブを等間隔に分割した分割点の座標を取得"
