"%s弯曲","%sBend"
"影响对象","Affect Object"
"如何动画全局对象变换","How to animate global object transformation"
"仅选定骨骼","Selected Bones Only"
"仅动画选定骨骼","Only animate selected bones"
"影响缩放","Affect Scale"
"在动画中包含骨骼缩放","Include bone scale in animation"
"保持限制","Keep Limits"
"保持锁定和限制。\n禁用以更好地匹配","Keep locks and limits.\nDisable for better matching"
"转换姿势","Convert Poses"
"尝试将姿势转换为当前装备。","Attempt to convert poses to the current rig."
"源角色","Source Character"
"为此文件制作的角色","Character this file was made for"
"对象变换影响：","Object Transformations Affect:"
"影响骨骼","Affect Bones"
"动画骨骼","Animate bones"
"影响变形","Affect Morphs"
"动画变形属性","Animate morph properties"
"清除变形","Clear Morphs"
"在加载新变形之前清除所有变形属性","Clear all morph properties before loading new ones"
"加载到形状键","Load To Shapekeys"
"将变形加载到网格形状键而不是装备属性","Load morphs to mesh shapekeys instead of rig properties"
"加载缺失变形","Load Missing Morphs"
"加载缺失变形","Load missing morphs"
"类别","Category"
"将缺失变形添加到此类别","Add missing morphs to this category"
"使用扫描数据库","Use Scanned Database"
"使用扫描数据库查找变形","Use the scanned database to find morphs"
"检查更新","Check For Updates"
"在加载动画之前检查数据库中的新变形","Check the database for new morphs before loading the animation"
"影响地形","Affect Geograft"
"将变形添加到此合并的地形","Add morphs to this merged geograft"
"使所有骨骼可摆姿势","Make All Bones Posable"
"在加载变形后使所有骨骼可摆姿势","Make all bones posable after the morphs have been loaded"
"新动作","New Action"
"取消链接当前动作并创建一个新动作","Unlink current action and make a new one"
"动作名称","Action Name"
"加载动作的名称","Name of loaded action"
"帧率","Frame Rate"
"Daz Studio中的动画FPS","Animation FPS in Daz Studio"
"整数帧","Integer Frames"
"将所有关键帧四舍五入为整数","Round all keyframes to intergers"
"从第1帧开始","Start At Frame 1"
"始终从第1帧开始动作","Always start actions at frame 1"
"第一帧","First Frame"
"从此帧开始导入","Start import with this frame"
"最后一帧","Last Frame"
"以此帧结束导入","Finish import with this frame"
"导入动作","Import Action"
"从DAZ姿势预设文件导入姿势到动作","Import poses from DAZ pose preset file(s) to action"
"导入姿势库","Import Pose Library"
"从DAZ姿势预设文件导入姿势到姿势库","Import poses from DAZ pose preset file(s) to pose library"
"新姿势库","New Pose Library"
"取消链接当前姿势库并创建一个新姿势库","Unlink current pose library and make a new one"
"姿势库名称","Pose Library Name"
"加载姿势库的名称","Name of loaded pose library"
"资产浏览器","Asset Browser"
"创建资产浏览器库","Create asset browser library"
"导入预览","Import Previews"
"为导入的姿势导入预览图像","Import preview images for imported poses"
"标签","Tags"
"要添加到导入姿势的标签列表","List of tags to add to the imported Poses"
"作者","Author"
"作者的名称","Name of the Author"
"描述","Description"
"要添加到所有姿势的描述","Description to add to all Poses"
"导入姿势","Import Pose"
"从DAZ姿势预设文件导入姿势","Import a pose from DAZ pose preset file(s)"
"导入表情","Import Expression"
"从DAZ姿势预设文件导入表情","Import an expression from DAZ pose preset file(s)"
"从场景导入姿势","Import Pose From Scene"
"从DAZ场景文件导入姿势（非姿势预设文件）","Import a pose from DAZ scene file(s) (not pose preset files)"
"清除姿势","Clear Pose"
"清除所有骨骼和对象变换","Clear all bones and object transformations"
"修剪动作","Prune Action"
"仅删除零键的F曲线","Remove F-curves with zero keys only"
"保存姿势预设","Save Pose Preset"
"将活动动作保存为姿势预设，\n用于在DAZ Studio中使用","Save the active action as a pose preset,\nto be used in DAZ Studio"
"使用动作","Use Action"
"导入动作而不是单个姿势","Import action instead of single pose"
"使用对象","Use Object"
"在姿势预设中包含对象","Include object in the pose preset"
"使用骨骼","Use Bones"
"在姿势预设中包含骨骼","Include bones in the pose preset"
"包含锁定通道","Include Locked Channels"
"在姿势预设中包含锁定的骨骼通道","Include locked bone channels in the pose preset"
"使用缩放","Use Scale"
"在姿势预设中包含骨骼缩放变换","Include bone scale transforms in the pose preset"
"使用面部骨骼","Use Face Bones"
"在姿势预设中包含面部骨骼","Include face bones in the pose preset"
"使用变形","Use Morphs"
"在姿势预设中包含变形","Include morphs in the pose preset"
"保存未使用的变形","Save Unused Morphs"
"包含始终为零的变形","Include morphs that are constantly zero"
"开始","Start"
"第一帧","First frame"
"结束","End"
"最后一帧","Last frame"
"FPS","FPS"
"每秒帧数","Frames per second"
"/%s","/%s"
"将姿势烘焙到FK装备","Bake Pose To FK Rig"
"在保存姿势预设之前将姿势烘焙到FK装备。\nIK手臂和腿必须分别烘焙","Bake pose to the FK rig before saving pose preset.\nIK arms and legs must be baked separately"
"施加锁定和限制","Impose Locks And Limits"
"为当前姿势施加锁定和限制","Impose locks and limits for current pose"
"无名","Noname"
"%s-1","%s-1"
"%s-%d","%s-%d"
"无","NONE"
"创建着色器组","Make Shader Groups"
"为活动材质创建着色器组","Create shader groups for the active material"
"漫反射","Diffuse"
"对数颜色","Log Color"
"颜色效果","Color Effect"
"着色效果","Tinted Effect"
"菲涅尔","Fresnel"
"发射","Emission"
"单面","One Sided"
"漫反射叠加","Diffuse Overlay"
"光泽","Glossy"
"顶涂","Top Coat"
"折射","Refraction"
"假焦散","Fake Caustics"
"透明","Transparent"
"反转法线贴图","Invert Normal Map"
"半透明","Translucent"
"次表面","Subsurface"
"射线剪辑","Ray Clip"
"双 lobe（Uber Shader）","Dual Lobe (Uber Shader)"
"双 lobe（PBR皮肤）","Dual Lobe (PBR Skin)"
"金属（Uber Shader）","Metal (Uber Shader)"
"金属（PBR皮肤）","Metal (PBR Skin)"
"体积","Volume"
"法线","Normal"
"置换","Displacement"
"贴花","Decal"
"为IK优化姿势","Optimize Pose For IK"
"为IK优化姿势。\n与姿势加载和身体变形不兼容","Optimize pose for IK.\nIncompatible with pose loading and body morphs"
"应用静止姿势","Apply Rest Pose"
"将当前姿势应用为所有骨架的静止姿势","Apply current pose as rest pose for all armatures"
"转换DAZ装备","Convert DAZ Rig"
"将当前DAZ装备转换为其他DAZ装备","Convert current DAZ rig to other DAZ rig"
"新装备","New Rig"
"将活动装备转换为此","Convert active rig to this"
"非颜色","Non-Color"
"分层","Layered"
"静默模式","Silent Mode"
"切换静默模式开启或关闭（错误弹出窗口关闭或开启）","Toggle silent mode on or off (error popups off or on)"
"添加内容目录","Add Content Directory"
"添加内容目录","Add a content directory"
"添加MDL目录","Add MDL Directory"
"添加MDL目录","Add an MDL directory"
"添加云目录","Add Cloud Directory"
"添加云目录","Add a cloud directory"
"保存设置文件","Save Settings File"
"将当前设置保存到文件","Save current settings to file"
"加载出厂设置","Load Factory Settings"
"将所有全局设置恢复为出厂默认值","Restore all global settings to factory defaults"
"加载根路径","Load Root Paths"
"从文件加载DAZ根路径","Load DAZ root paths from file"
"加载内容目录","Load Content Directories"
"加载MDL目录","Load MDL Directories"
"加载云目录","Load Cloud Directories"
"加载设置文件","Load Settings File"
"从文件加载设置","Load settings from file"
"全局设置","Global Settings"
"显示或更新全局设置","Show or update global settings"
"DAZ Studio根目录","DAZ Studio Root Directories"
"输出错误的路径：","Path To Output Errors:"
"扫描数据库的路径：","Path To Scanned Database:"
"常规","General"
"调试","Debugging"
"网格","Meshes"
"绑定","Rigging"
